"id" "sex" "dead" "cens" "xli" "xti" "loc" "potEm" "im" "unsex" "outMigr"
322 "m" 0 0 7.03 5.92 "s" 0 1 0 1
323 "m" 0 0 9.54 6.55 "s" 0 1 0 0
324 "m" 0 0 0.48 0 "s" 1 0 0 0
325 "m" 0 0 0.48 0 "s" 1 0 0 0
326 "m" 0 0 0.33 0 "s" 1 0 0 0
327 "m" 0 0 0.13 0 "s" 1 0 0 0
328 "m" 0 0 0.13 0 "s" 1 0 0 0
329 "m" 0 0 2.01 0 "s" 1 0 0 0
330 "m" 0 0 1.43 0 "s" 1 0 0 0
331 "m" 0 0 1.88 0 "s" 1 0 0 0
332 "m" 0 0 2.64 0 "s" 1 0 0 1
333 "m" 0 0 2.47 0 "s" 1 0 0 1
334 "m" 0 0 2.64 0 "s" 1 0 0 1
335 "m" 0 0 2.41 0 "s" 1 0 0 1
336 "m" 0 0 2.47 0 "s" 1 0 0 1
337 "m" 0 0 2.78 0 "s" 1 0 0 1
338 "m" 0 0 0.02 0 "s" 1 0 0 0
339 "m" 0 0 0.02 0 "s" 1 0 0 0
340 "m" 0 0 1.07 0 "s" 1 0 0 0
341 "m" 0 0 0.1 0 "s" 1 0 0 0
342 "m" 0 0 2.44 0 "s" 1 0 0 0
343 "m" 0 0 0.33 0 "s" 1 0 0 0
344 "m" 0 0 0.33 0 "s" 1 0 0 0
345 "m" 0 0 0.69 0 "s" 1 0 0 0
346 "m" 0 0 2.14 0 "s" 1 0 0 0
347 "m" 0 1 1.88 0 "s" 0 0 0 0
348 "m" 0 1 1.88 0 "s" 0 0 0 0
349 "m" 0 0 2.8 0 "s" 1 0 0 1
350 "m" 0 0 1.15 0 "s" 1 0 0 0
351 "m" 0 0 3.7 0 "s" 1 0 0 1
352 "m" 0 0 3.98 0 "s" 1 0 0 0
353 "m" 0 0 2.68 0 "s" 1 0 0 0
354 "m" 0 0 4.35 0 "s" 1 0 0 0
355 "m" 0 0 3.7 0 "s" 1 0 0 1
356 "m" 0 0 3.5 0 "s" 1 0 0 1
357 "m" 0 0 2.51 0 "s" 1 0 0 0
358 "m" 0 0 0.32 0 "s" 1 0 0 0
359 "m" 0 0 0.31 0 "s" 1 0 0 0
360 "m" 0 0 0.28 0 "s" 1 0 0 0
361 "m" 0 0 0.25 0 "s" 1 0 0 0
362 "m" 0 0 1.28 0 "s" 1 0 0 0
363 "m" 0 0 0.91 0 "s" 1 0 0 0
364 "m" 0 0 0.74 0 "s" 1 0 0 0
365 "m" 0 0 3.67 0 "s" 1 0 0 0
366 "m" 0 0 1.46 0 "s" 1 0 0 0
367 "m" 0 0 3.73 0 "s" 1 0 0 1
368 "m" 0 0 1.6 0 "s" 1 0 0 0
369 "m" 0 0 1.83 0 "s" 1 0 0 0
370 "m" 0 0 2.02 0 "s" 1 0 0 0
371 "m" 0 0 1.94 0 "s" 1 0 0 0
372 "m" 0 0 1.67 0 "s" 1 0 0 0
373 "m" 0 0 1.79 0 "s" 1 0 0 0
374 "m" 0 0 0.67 0 "s" 1 0 0 0
375 "m" 0 0 1.65 0 "s" 1 0 0 0
376 "m" 0 0 2.15 0 "s" 1 0 0 1
377 "m" 0 0 2.48 0 "s" 1 0 0 0
378 "m" 0 0 8.7 0 "s" 1 0 0 0
379 "m" 0 0 1.72 0 "s" 1 0 0 0
380 "m" 0 0 0.61 0 "s" 1 0 0 0
381 "m" 0 0 0.51 0 "s" 1 0 0 0
382 "m" 0 0 0.02 0 "s" 1 0 0 0
383 "m" 0 0 1.01 0 "s" 1 0 0 0
384 "m" 0 0 0.41 0 "s" 1 0 0 0
385 "m" 0 0 3.01 0 "s" 1 0 0 0
386 "m" 0 0 2.18 0 "s" 1 0 0 1
387 "m" 0 0 2.14 0 "s" 1 0 0 1
